# HEADER_START
# DEVICE: GEM_MOUNT_CONTROLLER_V4.2
# SITE_LAT: 51.1700 N
# SITE_LON: 07.0800 E
# DATE_OBS: 2026-02-01
# TARGET: M42_ORION_NEBULA
# TARGET_RA: 05:35:17
# TARGET_DEC: -05:23:28
# LIMIT_MIN_ALT: 20.0
# LIMIT_MAX_ALT: 30.0 (Setting)
# COLUMNS: ISO_TIMESTAMP;LST;RA_MOUNT;DEC_MOUNT;HA_MOUNT;AZ_DEG;ALT_DEG;PIER_SIDE;STATUS
# HEADER_END

# --- PHASE 1: ACQUISITION (ALT > 20 DEG) ---
2026-02-01T17:23:00;02:24:12;00:00:00;+90:00:00;00:00:00;000.00;+51.17;WEST;PARKED
2026-02-01T17:23:01;02:24:13;02:15:00;+45:00:00;-03:19:17;065.00;+40.00;WEST;SLEWING
2026-02-01T17:23:15;02:24:27;05:35:17;-05:23:28;-03:10:50;129.50;+19.95;WEST;SLEWING
2026-02-01T17:23:30;02:24:42;05:35:17;-05:23:28;-03:10:35;129.60;+20.05;WEST;SETTLING
2026-02-01T17:23:35;02:24:47;05:35:17;-05:23:28;-03:10:30;129.62;+20.08;WEST;GUIDING_CALIBRATION
2026-02-01T17:24:00;02:25:12;05:35:17;-05:23:28;-03:10:05;129.70;+20.15;WEST;TRACKING

# --- PHASE 2: TRACKING EASTERN HEMISPHERE (RISING) ---
2026-02-01T17:30:00;02:31:13;05:35:17;-05:23:28;-03:04:04;131.50;+22.05;WEST;TRACKING
2026-02-01T18:00:00;03:01:19;05:35:17;-05:23:28;-02:33:58;138.20;+26.80;WEST;TRACKING
2026-02-01T18:30:00;03:31:24;05:35:17;-05:23:28;-02:03:53;145.80;+30.15;WEST;TRACKING
2026-02-01T19:00:00;04:01:30;05:35:17;-05:23:28;-01:33:47;154.10;+32.20;WEST;TRACKING
2026-02-01T19:30:00;04:31:36;05:35:17;-05:23:28;-01:03:41;162.90;+33.10;WEST;TRACKING
2026-02-01T20:00:00;05:01:41;05:35:17;-05:23:28;-00:33:36;171.80;+33.40;WEST;TRACKING
2026-02-01T20:15:00;05:16:44;05:35:17;-05:23:28;-00:18:33;176.10;+33.44;WEST;TRACKING
2026-02-01T20:25:00;05:26:46;05:35:17;-05:23:28;-00:08:31;178.50;+33.45;WEST;TRACKING
2026-02-01T20:30:00;05:31:47;05:35:17;-05:23:28;-00:03:30;179.70;+33.45;WEST;TRACKING

# --- PHASE 3: MERIDIAN FLIP (TRANSIT) ---
2026-02-01T20:33:00;05:34:47;05:35:17;-05:23:28;-00:00:30;179.90;+33.45;WEST;TRACKING
2026-02-01T20:33:17;05:35:04;05:35:17;-05:23:28;-00:00:13;179.95;+33.45;WEST;TRACKING
2026-02-01T20:33:30;05:35:17;05:35:17;-05:23:28;00:00:00;180.00;+33.45;WEST;FLIP_REQUIRED
2026-02-01T20:33:31;05:35:18;05:35:17;-05:23:28;00:00:01;180.00;+33.45;----;FLIP_SLEW_INIT
2026-02-01T20:33:45;05:35:32;05:35:17;-05:23:28;00:00:15;180.01;+33.45;----;FLIP_ROTATION_RA
2026-02-01T20:34:00;05:35:47;05:35:17;-05:23:28;00:00:30;180.02;+33.45;----;FLIP_ROTATION_DEC
2026-02-01T20:34:30;05:36:17;05:35:17;-05:23:28;00:01:00;180.10;+33.45;EAST;FLIP_SETTLE
2026-02-01T20:34:35;05:36:22;05:35:17;-05:23:28;00:01:05;180.12;+33.45;EAST;GUIDING_RECALIBRATE
2026-02-01T20:35:00;05:36:47;05:35:17;-05:23:28;00:01:30;180.20;+33.45;EAST;TRACKING_RESUMED

# --- PHASE 4: TRACKING WESTERN HEMISPHERE (SETTING) ---
2026-02-01T20:45:00;05:46:49;05:35:17;-05:23:28;00:11:32;184.50;+33.40;EAST;TRACKING
2026-02-01T21:00:00;06:01:54;05:35:17;-05:23:28;00:26:37;188.70;+33.25;EAST;TRACKING
2026-02-01T21:30:00;06:31:59;05:35:17;-05:23:28;00:56:42;197.40;+32.40;EAST;TRACKING
2026-02-01T22:00:00;07:02:05;05:35:17;-05:23:28;01:26:48;205.90;+30.50;EAST;TRACKING

# --- PHASE 5: TERMINATION (ALT < 30 DEG) ---
2026-02-01T22:03:00;07:05:05;05:35:17;-05:23:28;01:29:48;207.25;+30.05;EAST;TRACKING
2026-02-01T22:03:15;07:05:20;05:35:17;-05:23:28;01:30:03;207.32;+30.00;EAST;TRACKING
2026-02-01T22:03:16;07:05:21;05:35:17;-05:23:28;01:30:04;207.33;+29.99;EAST;LIMIT_REACHED
2026-02-01T22:03:17;07:05:22;05:35:17;-05:23:28;01:30:05;207.33;+29.99;EAST;PARK_INIT
2026-02-01T22:03:20;07:05:25;05:00:00;+45:00:00;01:30:05;180.00;+51.17;WEST;SLEWING_HOME
2026-02-01T22:04:00;07:06:05;00:00:00;+90:00:00;00:00:00;000.00;+51.17;WEST;PARKED_COMPLETED
# END_OF_LOG
